user_count,planned_calls,create_success,create_failed,terminal_completed,terminal_failed,terminal_timeout,create_p95_ms,settle_p95_ms,lifecycle_p95_ms,peak_active_calls,peak_load_per_cpu_1m,peak_heap_usage_ratio,peak_rss_mb,overview_samples,overview_sample_errors
20,40,19,21,18,1,0,168,2021,1491,20,0.03,0.8686,55.25,4,0
40,80,18,62,18,0,0,201,2023,1491,20,0.025,0.9513,58.51,4,0
60,120,18,102,18,0,0,154,2020,1493,20,0.0225,0.9422,59.71,4,0
80,160,22,138,20,2,0,152,2038,1495,15,0.0175,0.7395,60.27,4,0
100,200,20,180,18,2,0,181,2026,1489,20,0.035,0.8548,62.98,4,0
