user_count,planned_calls,create_success,create_failed,terminal_completed,terminal_failed,terminal_timeout,create_p95_ms,settle_p95_ms,lifecycle_p95_ms,peak_active_calls,peak_load_per_cpu_1m,peak_heap_usage_ratio,peak_rss_mb,overview_samples,overview_sample_errors
20,40,34,6,31,3,0,226,2032,1499,22,0.03,0.7382,64.53,4,0
40,80,29,51,29,0,0,191,2033,1492,25,0.025,0.8566,61.39,4,0
60,120,40,80,36,4,0,232,2027,1504,25,0.02,0.8953,65.09,4,0
80,160,37,123,33,4,0,314,2021,1490,19,0.0175,0.7773,66.84,4,0
100,200,29,171,28,1,0,229,2017,1494,22,0.015,0.8555,67.68,4,0
